	Representative	Member	ClusterSize	PhageID	ProteinID	Status	Function
731	MZ501076.1_prot_QXV80463.1_110_unknown_Protein_kinase,_putative	MZ501076.1_prot_QXV80463.1_110_unknown_Protein_kinase,_putative	1	MZ501076.1	QXV80463.1110	unknown	Protein_kinase,_putative
732	MZ501076.1_prot_QXV80496.1_143_unknown_ABC_transmembrane_type-1_domain-containing_protein	MZ501076.1_prot_QXV80496.1_143_unknown_ABC_transmembrane_type-1_domain-containing_protein	1	MZ501076.1	QXV80496.1143	unknown	ABC_transmembrane_type-1_domain-containing_protein
733	MZ501076.1_prot_QXV80510.1_157_unknown_Os07g0531200_protein	MZ501076.1_prot_QXV80510.1_157_unknown_Os07g0531200_protein	1	MZ501076.1	QXV80510.1157	unknown	Os07g0531200_protein
734	MZ501076.1_prot_QXV80518.1_165_unknown_F-box_domain-containing_protein	MZ501076.1_prot_QXV80518.1_165_unknown_F-box_domain-containing_protein	1	MZ501076.1	QXV80518.1165	unknown	F-box_domain-containing_protein
735	MZ501106.1_prot_QXV84976.1_240_unknown_Inner_membrane_protein	MZ501106.1_prot_QXV84976.1_240_unknown_Inner_membrane_protein	1	MZ501106.1	QXV84976.1240	unknown	Inner_membrane_protein
736	MZ501106.1_prot_QXV84983.1_247_unknown_Vesicle_transport_protein	MZ501106.1_prot_QXV84983.1_247_unknown_Vesicle_transport_protein	1	MZ501106.1	QXV84983.1247	unknown	Vesicle_transport_protein
742	MZ501108.1_prot_QXV85120.1_50_unknown_Acyl_transf_3_domain-containing_protein	MZ501108.1_prot_QXV85120.1_50_unknown_Acyl_transf_3_domain-containing_protein	1	MZ501108.1	QXV85120.150	unknown	Acyl_transf_3_domain-containing_protein
743	MZ501108.1_prot_QXV85124.1_54_unknown_ABC_transporter_domain-containing_protein	MZ501108.1_prot_QXV85124.1_54_unknown_ABC_transporter_domain-containing_protein	1	MZ501108.1	QXV85124.154	unknown	ABC_transporter_domain-containing_protein
747	MZ501108.1_prot_QXV85141.1_71_unknown_Uncharacterized_protein	MZ501108.1_prot_QXV85141.1_71_unknown_Uncharacterized_protein	1	MZ501108.1	QXV85141.171	unknown	Uncharacterized_protein
751	MZ501108.1_prot_QXV85172.1_102_unknown_Uncharacterized_protein	MZ501108.1_prot_QXV85172.1_102_unknown_Uncharacterized_protein	1	MZ501108.1	QXV85172.1102	unknown	Uncharacterized_protein
752	MZ501108.1_prot_QXV85178.1_108_unknown_Protein_kinase,_putative	MZ501108.1_prot_QXV85178.1_108_unknown_Protein_kinase,_putative	1	MZ501108.1	QXV85178.1108	unknown	Protein_kinase,_putative
759	MZ501108.1_prot_QXV85223.1_153_unknown_Uncharacterized_protein	MZ501108.1_prot_QXV85223.1_153_unknown_Uncharacterized_protein	1	MZ501108.1	QXV85223.1153	unknown	Uncharacterized_protein
760	MZ501108.1_prot_QXV85227.1_157_unknown_Uncharacterized_protein,_isoform_B	MZ501108.1_prot_QXV85227.1_157_unknown_Uncharacterized_protein,_isoform_B	1	MZ501108.1	QXV85227.1157	unknown	Uncharacterized_protein,_isoform_B
761	MZ501108.1_prot_QXV85238.1_168_unknown_DUF6594_domain-containing_protein	MZ501108.1_prot_QXV85238.1_168_unknown_DUF6594_domain-containing_protein	1	MZ501108.1	QXV85238.1168	unknown	DUF6594_domain-containing_protein
768	MZ501109.1_prot_QXV85306.1_66_unknown_TetR_family_transcriptional_regulator	MZ501109.1_prot_QXV85306.1_66_unknown_TetR_family_transcriptional_regulator	1	MZ501109.1	QXV85306.166	unknown	TetR_family_transcriptional_regulator
770	MZ501109.1_prot_QXV85335.1_95_unknown_Uncharacterized_tRNA-rRNA_methyltransferase_LasT	MZ501109.1_prot_QXV85335.1_95_unknown_Uncharacterized_tRNA-rRNA_methyltransferase_LasT	1	MZ501109.1	QXV85335.195	unknown	Uncharacterized_tRNA-rRNA_methyltransferase_LasT
771	MZ501109.1_prot_QXV85337.1_97_unknown_Uncharacterized_protein_C24B11.08c	MZ501109.1_prot_QXV85337.1_97_unknown_Uncharacterized_protein_C24B11.08c	1	MZ501109.1	QXV85337.197	unknown	Uncharacterized_protein_C24B11.08c
773	MZ501109.1_prot_QXV85388.1_148_unknown_DUF3117_domain-containing_protein	MZ501109.1_prot_QXV85388.1_148_unknown_DUF3117_domain-containing_protein	1	MZ501109.1	QXV85388.1148	unknown	DUF3117_domain-containing_protein
774	MZ501109.1_prot_QXV85407.1_167_unknown_Bm14207	MZ501109.1_prot_QXV85407.1_167_unknown_Bm14207	1	MZ501109.1	QXV85407.1167	unknown	Bm14207
776	MZ501109.1_prot_QXV85420.1_180_unknown_Putative_acid_phosphatase_1	MZ501109.1_prot_QXV85420.1_180_unknown_Putative_acid_phosphatase_1	1	MZ501109.1	QXV85420.1180	unknown	Putative_acid_phosphatase_1
786	MZ501110.1_prot_QXV85449.1_27_unknown_Potassium-transporting_ATPase_alpha_chain_1	MZ501110.1_prot_QXV85449.1_27_unknown_Potassium-transporting_ATPase_alpha_chain_1	1	MZ501110.1	QXV85449.127	unknown	Potassium-transporting_ATPase_alpha_chain_1
787	MZ501110.1_prot_QXV85450.1_28_unknown_Uncharacterized_protein	MZ501110.1_prot_QXV85450.1_28_unknown_Uncharacterized_protein	1	MZ501110.1	QXV85450.128	unknown	Uncharacterized_protein
794	MZ501110.1_prot_QXV85482.1_60_unknown_Os09g0379000_protein	MZ501110.1_prot_QXV85482.1_60_unknown_Os09g0379000_protein	1	MZ501110.1	QXV85482.160	unknown	Os09g0379000_protein
795	MZ501110.1_prot_QXV85484.1_62_unknown_AP2-ERF_domain-containing_protein	MZ501110.1_prot_QXV85484.1_62_unknown_AP2-ERF_domain-containing_protein	1	MZ501110.1	QXV85484.162	unknown	AP2-ERF_domain-containing_protein
796	MZ501110.1_prot_QXV85487.1_65_unknown_AP2-EREBP_transcription_factor	MZ501110.1_prot_QXV85487.1_65_unknown_AP2-EREBP_transcription_factor	1	MZ501110.1	QXV85487.165	unknown	AP2-EREBP_transcription_factor
797	MZ501110.1_prot_QXV85490.1_68_unknown_Probable_serine-threonine-protein_kinase_DDB_G0282777	MZ501110.1_prot_QXV85490.1_68_unknown_Probable_serine-threonine-protein_kinase_DDB_G0282777	1	MZ501110.1	QXV85490.168	unknown	Probable_serine-threonine-protein_kinase_DDB_G0282777
798	MZ501110.1_prot_QXV85491.1_69_unknown_Modulator_of_FtsH_protease_HflK	MZ501110.1_prot_QXV85491.1_69_unknown_Modulator_of_FtsH_protease_HflK	1	MZ501110.1	QXV85491.169	unknown	Modulator_of_FtsH_protease_HflK
799	MZ501110.1_prot_QXV85493.1_71_unknown_ATP-grasp_domain-containing_protein	MZ501110.1_prot_QXV85493.1_71_unknown_ATP-grasp_domain-containing_protein	1	MZ501110.1	QXV85493.171	unknown	ATP-grasp_domain-containing_protein
800	MZ501110.1_prot_QXV85495.1_73_unknown_Os11g0686250_protein	MZ501110.1_prot_QXV85495.1_73_unknown_Os11g0686250_protein	1	MZ501110.1	QXV85495.173	unknown	Os11g0686250_protein
801	MZ501110.1_prot_QXV85498.1_76_unknown_Uncharacterized_protein	MZ501110.1_prot_QXV85498.1_76_unknown_Uncharacterized_protein	1	MZ501110.1	QXV85498.176	unknown	Uncharacterized_protein
802	MZ501110.1_prot_QXV85502.1_80_unknown_Secretion_protein_HlyD	MZ501110.1_prot_QXV85502.1_80_unknown_Secretion_protein_HlyD	1	MZ501110.1	QXV85502.180	unknown	Secretion_protein_HlyD
810	MZ501111.1_prot_QXV85590.1_80_unknown_Uncharacterized_protein	MZ501111.1_prot_QXV85590.1_80_unknown_Uncharacterized_protein	1	MZ501111.1	QXV85590.180	unknown	Uncharacterized_protein
811	MZ501111.1_prot_QXV85675.1_165_unknown_None	MZ501111.1_prot_QXV85675.1_165_unknown_None	1	MZ501111.1	QXV85675.1165	unknown	None
812	MZ501111.1_prot_QXV85720.1_210_unknown_ABC_transporter_ATP-binding_protein	MZ501111.1_prot_QXV85720.1_210_unknown_ABC_transporter_ATP-binding_protein	1	MZ501111.1	QXV85720.1210	unknown	ABC_transporter_ATP-binding_protein
813	MZ501111.1_prot_QXV85724.1_214_unknown_Zinc_metallopeptidase_EGY3,_chloroplastic	MZ501111.1_prot_QXV85724.1_214_unknown_Zinc_metallopeptidase_EGY3,_chloroplastic	1	MZ501111.1	QXV85724.1214	unknown	Zinc_metallopeptidase_EGY3,_chloroplastic
814	MZ501112.1_prot_QXV85748.1_8_unknown_Probable_cleavage_and_polyadenylation_specificity_factor_subunit_2	MZ501112.1_prot_QXV85748.1_8_unknown_Probable_cleavage_and_polyadenylation_specificity_factor_subunit_2	1	MZ501112.1	QXV85748.18	unknown	Probable_cleavage_and_polyadenylation_specificity_factor_subunit_2
821	MZ501112.1_prot_QXV85768.1_28_unknown_Mucin_TcMUCII	MZ501112.1_prot_QXV85768.1_28_unknown_Mucin_TcMUCII	1	MZ501112.1	QXV85768.128	unknown	Mucin_TcMUCII
822	MZ501112.1_prot_QXV85778.1_38_unknown_thymidylate_synthase	MZ501112.1_prot_QXV85778.1_38_unknown_thymidylate_synthase	1	MZ501112.1	QXV85778.138	unknown	thymidylate_synthase
828	MZ501112.1_prot_QXV85800.1_60_unknown_RING-type_domain-containing_protein	MZ501112.1_prot_QXV85800.1_60_unknown_RING-type_domain-containing_protein	1	MZ501112.1	QXV85800.160	unknown	RING-type_domain-containing_protein
829	MZ501112.1_prot_QXV85805.1_65_unknown_Type_2A_encapsulin_shell_protein_SrpI-like_domain-containing_protein	MZ501112.1_prot_QXV85805.1_65_unknown_Type_2A_encapsulin_shell_protein_SrpI-like_domain-containing_protein	1	MZ501112.1	QXV85805.165	unknown	Type_2A_encapsulin_shell_protein_SrpI-like_domain-containing_protein
830	MZ501112.1_prot_QXV85806.1_66_unknown_Uncharacterized_protein	MZ501112.1_prot_QXV85806.1_66_unknown_Uncharacterized_protein	1	MZ501112.1	QXV85806.166	unknown	Uncharacterized_protein
833	MZ501112.1_prot_QXV85822.1_82_unknown_Antitoxin_HicB	MZ501112.1_prot_QXV85822.1_82_unknown_Antitoxin_HicB	1	MZ501112.1	QXV85822.182	unknown	Antitoxin_HicB
941	NC_005859.1_prot_YP_006836.1_8_unknown_methylcrotonoyl-CoA_carboxylase	NC_005859.1_prot_YP_006836.1_8_unknown_methylcrotonoyl-CoA_carboxylase	1	NC005859.1	YP006836.1_8	unknown	methylcrotonoyl-CoA_carboxylase
944	NC_005859.1_prot_YP_006885.1_57_unknown_Mannan_endo-1,6-alpha-mannosidase_DCW1	NC_005859.1_prot_YP_006885.1_57_unknown_Mannan_endo-1,6-alpha-mannosidase_DCW1	1	NC005859.1	YP006885.1_57	unknown	Mannan_endo-1,6-alpha-mannosidase_DCW1
945	NC_005859.1_prot_YP_006886.1_58_unknown_Primosomal_protein_N'	NC_005859.1_prot_YP_006886.1_58_unknown_Primosomal_protein_N'	1	NC005859.1	YP006886.1_58	unknown	Primosomal_protein_N'
946	NC_005859.1_prot_YP_006891.1_63_unknown_RNA_helicase	NC_005859.1_prot_YP_006891.1_63_unknown_RNA_helicase	1	NC005859.1	YP006891.1_63	unknown	RNA_helicase
947	NC_005859.1_prot_YP_006894.1_66_unknown_Neur_chan_memb_domain-containing_protein	NC_005859.1_prot_YP_006894.1_66_unknown_Neur_chan_memb_domain-containing_protein	1	NC005859.1	YP006894.1_66	unknown	Neur_chan_memb_domain-containing_protein
948	NC_005859.1_prot_YP_006898.1_70_unknown_Uncharacterized_protein_MJ0583	NC_005859.1_prot_YP_006898.1_70_unknown_Uncharacterized_protein_MJ0583	1	NC005859.1	YP006898.1_70	unknown	Uncharacterized_protein_MJ0583
949	NC_005859.1_prot_YP_006902.1_74_unknown_Cwf21	NC_005859.1_prot_YP_006902.1_74_unknown_Cwf21	1	NC005859.1	YP006902.1_74	unknown	Cwf21
958	NC_005859.1_prot_YP_006931.1_103_unknown_Probable_serine-threonine-protein_kinase_DDB_G0282777	NC_005859.1_prot_YP_006931.1_103_unknown_Probable_serine-threonine-protein_kinase_DDB_G0282777	1	NC005859.1	YP006931.1_103	unknown	Probable_serine-threonine-protein_kinase_DDB_G0282777
1025	NC_008720.1_prot_YP_950526.1_48_unknown_Uncharacterized_protein_Rv2632c	NC_008720.1_prot_YP_950526.1_48_unknown_Uncharacterized_protein_Rv2632c	1	NC008720.1	YP950526.1_48	unknown	Uncharacterized_protein_Rv2632c
1038	NC_073057.1_prot_YP_010740645.1_51_unknown_DUF2802_domain-containing_protein	NC_073057.1_prot_YP_010740645.1_51_unknown_DUF2802_domain-containing_protein	1	NC073057.1	YP010740645.1_51	unknown	DUF2802_domain-containing_protein
1039	NC_073057.1_prot_YP_010740658.1_64_unknown_Legume_lectin_domain-containing_protein	NC_073057.1_prot_YP_010740658.1_64_unknown_Legume_lectin_domain-containing_protein	1	NC073057.1	YP010740658.1_64	unknown	Legume_lectin_domain-containing_protein
1040	NC_073057.1_prot_YP_010740659.1_65_unknown_Os04g0686900_protein	NC_073057.1_prot_YP_010740659.1_65_unknown_Os04g0686900_protein	1	NC073057.1	YP010740659.1_65	unknown	Os04g0686900_protein
1041	NC_073062.1_prot_YP_010740931.1_4_unknown_Phage_head_morphogenesis_protein	NC_073062.1_prot_YP_010740931.1_4_unknown_Phage_head_morphogenesis_protein	1	NC073062.1	YP010740931.1_4	unknown	Phage_head_morphogenesis_protein
1044	NC_073062.1_prot_YP_010740934.1_7_unknown_Transcriptional_regulator	NC_073062.1_prot_YP_010740934.1_7_unknown_Transcriptional_regulator	1	NC073062.1	YP010740934.1_7	unknown	Transcriptional_regulator
1046	NC_073066.1_prot_YP_010741207.1_34_unknown_DUF3592_domain-containing_protein	NC_073066.1_prot_YP_010741207.1_34_unknown_DUF3592_domain-containing_protein	1	NC073066.1	YP010741207.1_34	unknown	DUF3592_domain-containing_protein
1047	NC_073066.1_prot_YP_010741236.1_63_unknown_BIG2_domain-containing_protein	NC_073066.1_prot_YP_010741236.1_63_unknown_BIG2_domain-containing_protein	1	NC073066.1	YP010741236.1_63	unknown	BIG2_domain-containing_protein
1060	NC_073067.1_prot_YP_010741269.1_32_unknown_Glycerol_metabolism_activator	NC_073067.1_prot_YP_010741269.1_32_unknown_Glycerol_metabolism_activator	1	NC073067.1	YP010741269.1_32	unknown	Glycerol_metabolism_activator
1061	NC_073067.1_prot_YP_010741276.1_39_unknown_Phage_associated_protein	NC_073067.1_prot_YP_010741276.1_39_unknown_Phage_associated_protein	1	NC073067.1	YP010741276.1_39	unknown	Phage_associated_protein
1062	NC_073067.1_prot_YP_010741277.1_40_unknown_Phi_related_protein	NC_073067.1_prot_YP_010741277.1_40_unknown_Phi_related_protein	1	NC073067.1	YP010741277.1_40	unknown	Phi_related_protein
1063	NC_073067.1_prot_YP_010741278.1_41_unknown_None	NC_073067.1_prot_YP_010741278.1_41_unknown_None	1	NC073067.1	YP010741278.1_41	unknown	None
1065	NC_073067.1_prot_YP_010741291.1_54_unknown_Poly(A)-specific_ribonuclease_PNLDC1	NC_073067.1_prot_YP_010741291.1_54_unknown_Poly(A)-specific_ribonuclease_PNLDC1	1	NC073067.1	YP010741291.1_54	unknown	Poly(A)-specific_ribonuclease_PNLDC1
1066	NC_073067.1_prot_YP_010741296.1_59_unknown_Plant_thionin_family_protein	NC_073067.1_prot_YP_010741296.1_59_unknown_Plant_thionin_family_protein	1	NC073067.1	YP010741296.1_59	unknown	Plant_thionin_family_protein
1068	NC_073089.1_prot_YP_010742572.1_33_unknown_Putative_glucose_transport_protein	NC_073089.1_prot_YP_010742572.1_33_unknown_Putative_glucose_transport_protein	1	NC073089.1	YP010742572.1_33	unknown	Putative_glucose_transport_protein
1069	NC_073089.1_prot_YP_010742581.1_42_unknown_Elongation_factor_EFG_domain-containing_protein	NC_073089.1_prot_YP_010742581.1_42_unknown_Elongation_factor_EFG_domain-containing_protein	1	NC073089.1	YP010742581.1_42	unknown	Elongation_factor_EFG_domain-containing_protein
1070	NC_073089.1_prot_YP_010742583.1_44_unknown_Tudor_domain-containing_protein	NC_073089.1_prot_YP_010742583.1_44_unknown_Tudor_domain-containing_protein	1	NC073089.1	YP010742583.1_44	unknown	Tudor_domain-containing_protein
1073	NC_073089.1_prot_YP_010742594.1_55_unknown_TOTE_conflict_system_primase_domain-containing_protein	NC_073089.1_prot_YP_010742594.1_55_unknown_TOTE_conflict_system_primase_domain-containing_protein	1	NC073089.1	YP010742594.1_55	unknown	TOTE_conflict_system_primase_domain-containing_protein
1074	MZ501083.1_prot_QXV81169.1_46_unknown_Small_ribosomal_subunit_biogenesis_GTPase_RsgA	MZ501083.1_prot_QXV81169.1_46_unknown_Small_ribosomal_subunit_biogenesis_GTPase_RsgA	1	MZ501083.1	QXV81169.146	unknown	Small_ribosomal_subunit_biogenesis_GTPase_RsgA
1075	MZ501083.1_prot_QXV81186.1_63_unknown_Elongator_complex_protein_6	MZ501083.1_prot_QXV81186.1_63_unknown_Elongator_complex_protein_6	1	MZ501083.1	QXV81186.163	unknown	Elongator_complex_protein_6
1076	MZ501083.1_prot_QXV81214.1_91_unknown_Amastin	MZ501083.1_prot_QXV81214.1_91_unknown_Amastin	1	MZ501083.1	QXV81214.191	unknown	Amastin
1077	MZ501083.1_prot_QXV81234.1_111_unknown_Antitoxin_of_toxin-antitoxin_stability_system	MZ501083.1_prot_QXV81234.1_111_unknown_Antitoxin_of_toxin-antitoxin_stability_system	1	MZ501083.1	QXV81234.1111	unknown	Antitoxin_of_toxin-antitoxin_stability_system
1078	MZ501083.1_prot_QXV81252.1_129_unknown_Uncharacterized_protein	MZ501083.1_prot_QXV81252.1_129_unknown_Uncharacterized_protein	1	MZ501083.1	QXV81252.1129	unknown	Uncharacterized_protein
1079	MZ501083.1_prot_QXV81264.1_141_unknown_Myb-SANT-like_domain-containing_protein	MZ501083.1_prot_QXV81264.1_141_unknown_Myb-SANT-like_domain-containing_protein	1	MZ501083.1	QXV81264.1141	unknown	Myb-SANT-like_domain-containing_protein
1080	MZ501083.1_prot_QXV81284.1_161_unknown_Uncharacterized_protein	MZ501083.1_prot_QXV81284.1_161_unknown_Uncharacterized_protein	1	MZ501083.1	QXV81284.1161	unknown	Uncharacterized_protein
1085	MZ501083.1_prot_QXV81316.1_193_unknown_Methyltransferase-like_protein_5	MZ501083.1_prot_QXV81316.1_193_unknown_Methyltransferase-like_protein_5	1	MZ501083.1	QXV81316.1193	unknown	Methyltransferase-like_protein_5
1086	MZ501083.1_prot_QXV81325.1_202_unknown_Uncharacterized_protein	MZ501083.1_prot_QXV81325.1_202_unknown_Uncharacterized_protein	1	MZ501083.1	QXV81325.1202	unknown	Uncharacterized_protein
1101	MZ501084.1_prot_QXV81386.1_40_unknown_Putative_tRNA_nucleotidyltransferase	MZ501084.1_prot_QXV81386.1_40_unknown_Putative_tRNA_nucleotidyltransferase	1	MZ501084.1	QXV81386.140	unknown	Putative_tRNA_nucleotidyltransferase
1104	MZ501084.1_prot_QXV81395.1_49_unknown_Glyco_transf_7C_domain-containing_protein	MZ501084.1_prot_QXV81395.1_49_unknown_Glyco_transf_7C_domain-containing_protein	1	MZ501084.1	QXV81395.149	unknown	Glyco_transf_7C_domain-containing_protein
1105	MZ501084.1_prot_QXV81396.1_50_unknown_Septin	MZ501084.1_prot_QXV81396.1_50_unknown_Septin	1	MZ501084.1	QXV81396.150	unknown	Septin
1106	MZ501084.1_prot_QXV81398.1_52_unknown_Germane_domain-containing_protein	MZ501084.1_prot_QXV81398.1_52_unknown_Germane_domain-containing_protein	1	MZ501084.1	QXV81398.152	unknown	Germane_domain-containing_protein
1107	MZ501084.1_prot_QXV81402.1_56_unknown_VWFA_domain-containing_protein	MZ501084.1_prot_QXV81402.1_56_unknown_VWFA_domain-containing_protein	1	MZ501084.1	QXV81402.156	unknown	VWFA_domain-containing_protein
1108	MZ501084.1_prot_QXV81417.1_71_unknown_GINS_complex_subunit_4	MZ501084.1_prot_QXV81417.1_71_unknown_GINS_complex_subunit_4	1	MZ501084.1	QXV81417.171	unknown	GINS_complex_subunit_4
1110	MZ501084.1_prot_QXV81432.1_86_unknown_Zinc-binding_lipoprotein_AdcA	MZ501084.1_prot_QXV81432.1_86_unknown_Zinc-binding_lipoprotein_AdcA	1	MZ501084.1	QXV81432.186	unknown	Zinc-binding_lipoprotein_AdcA
1111	MZ501084.1_prot_QXV81445.1_99_unknown_Transmembrane_protein	MZ501084.1_prot_QXV81445.1_99_unknown_Transmembrane_protein	1	MZ501084.1	QXV81445.199	unknown	Transmembrane_protein
1114	MZ501084.1_prot_QXV81459.1_113_unknown_SWIM-type_domain-containing_protein	MZ501084.1_prot_QXV81459.1_113_unknown_SWIM-type_domain-containing_protein	1	MZ501084.1	QXV81459.1113	unknown	SWIM-type_domain-containing_protein
1115	MZ501084.1_prot_QXV81464.1_118_unknown_General_secretion_pathway_protein_F	MZ501084.1_prot_QXV81464.1_118_unknown_General_secretion_pathway_protein_F	1	MZ501084.1	QXV81464.1118	unknown	General_secretion_pathway_protein_F
1116	MZ501084.1_prot_QXV81465.1_119_unknown_mRNA-decapping_enzyme_1A	MZ501084.1_prot_QXV81465.1_119_unknown_mRNA-decapping_enzyme_1A	1	MZ501084.1	QXV81465.1119	unknown	mRNA-decapping_enzyme_1A
1117	MZ501084.1_prot_QXV81466.1_120_unknown_Pseudouridine_synthase_family_protein	MZ501084.1_prot_QXV81466.1_120_unknown_Pseudouridine_synthase_family_protein	1	MZ501084.1	QXV81466.1120	unknown	Pseudouridine_synthase_family_protein
1118	MZ501084.1_prot_QXV81468.1_122_unknown_Ribosome_biogenesis_protein_NSA2_homolog	MZ501084.1_prot_QXV81468.1_122_unknown_Ribosome_biogenesis_protein_NSA2_homolog	1	MZ501084.1	QXV81468.1122	unknown	Ribosome_biogenesis_protein_NSA2_homolog
1119	MZ501084.1_prot_QXV81474.1_128_unknown_Mitochondrial_escape_protein_2	MZ501084.1_prot_QXV81474.1_128_unknown_Mitochondrial_escape_protein_2	1	MZ501084.1	QXV81474.1128	unknown	Mitochondrial_escape_protein_2
1124	MZ501084.1_prot_QXV81478.1_132_unknown_DRBM_domain-containing_protein	MZ501084.1_prot_QXV81478.1_132_unknown_DRBM_domain-containing_protein	1	MZ501084.1	QXV81478.1132	unknown	DRBM_domain-containing_protein
1125	MZ501084.1_prot_QXV81511.1_165_unknown_Cation_transporter	MZ501084.1_prot_QXV81511.1_165_unknown_Cation_transporter	1	MZ501084.1	QXV81511.1165	unknown	Cation_transporter
1129	MZ501084.1_prot_QXV81531.1_185_unknown_Expressed_protein	MZ501084.1_prot_QXV81531.1_185_unknown_Expressed_protein	1	MZ501084.1	QXV81531.1185	unknown	Expressed_protein
1130	MZ501084.1_prot_QXV81534.1_188_unknown_Cytokinin_riboside_5'-monophosphate_phosphoribohydrolase	MZ501084.1_prot_QXV81534.1_188_unknown_Cytokinin_riboside_5'-monophosphate_phosphoribohydrolase	1	MZ501084.1	QXV81534.1188	unknown	Cytokinin_riboside_5'-monophosphate_phosphoribohydrolase
1131	MZ501084.1_prot_QXV81542.1_196_unknown_Paraflagellar_rod_protein	MZ501084.1_prot_QXV81542.1_196_unknown_Paraflagellar_rod_protein	1	MZ501084.1	QXV81542.1196	unknown	Paraflagellar_rod_protein
1132	MZ501084.1_prot_QXV81545.1_199_unknown_Proteasome_subunit_beta	MZ501084.1_prot_QXV81545.1_199_unknown_Proteasome_subunit_beta	1	MZ501084.1	QXV81545.1199	unknown	Proteasome_subunit_beta
1133	MZ501084.1_prot_QXV81555.1_209_unknown_Nucleoside_phosphorylase_domain-containing_protein	MZ501084.1_prot_QXV81555.1_209_unknown_Nucleoside_phosphorylase_domain-containing_protein	1	MZ501084.1	QXV81555.1209	unknown	Nucleoside_phosphorylase_domain-containing_protein
1134	MZ501084.1_prot_QXV81577.1_231_unknown_Myeloid-lymphoid_or_mixed-lineage_leukemia;_translocated_to,_6	MZ501084.1_prot_QXV81577.1_231_unknown_Myeloid-lymphoid_or_mixed-lineage_leukemia;_translocated_to,_6	1	MZ501084.1	QXV81577.1231	unknown	Myeloid-lymphoid_or_mixed-lineage_leukemia;_translocated_to,_6
1137	MZ501084.1_prot_QXV81602.1_256_unknown_histidine_kinase	MZ501084.1_prot_QXV81602.1_256_unknown_histidine_kinase	1	MZ501084.1	QXV81602.1256	unknown	histidine_kinase
1147	MZ501085.1_prot_QXV81620.1_16_unknown_None	MZ501085.1_prot_QXV81620.1_16_unknown_None	1	MZ501085.1	QXV81620.116	unknown	None
1150	MZ501085.1_prot_QXV81651.1_47_unknown_Uncharacterized_protein	MZ501085.1_prot_QXV81651.1_47_unknown_Uncharacterized_protein	1	MZ501085.1	QXV81651.147	unknown	Uncharacterized_protein
1151	MZ501085.1_prot_QXV81661.1_57_unknown_Elongation_factor_1-gamma_(EF-1-gamma),_putative	MZ501085.1_prot_QXV81661.1_57_unknown_Elongation_factor_1-gamma_(EF-1-gamma),_putative	1	MZ501085.1	QXV81661.157	unknown	Elongation_factor_1-gamma_(EF-1-gamma),_putative
1152	MZ501085.1_prot_QXV81667.1_63_unknown_Septum_formation_inhibitor_Maf	MZ501085.1_prot_QXV81667.1_63_unknown_Septum_formation_inhibitor_Maf	1	MZ501085.1	QXV81667.163	unknown	Septum_formation_inhibitor_Maf
1153	MZ501085.1_prot_QXV81675.1_71_unknown_Putative_high_mobility_group_B_protein_11	MZ501085.1_prot_QXV81675.1_71_unknown_Putative_high_mobility_group_B_protein_11	1	MZ501085.1	QXV81675.171	unknown	Putative_high_mobility_group_B_protein_11
1154	MZ501086.1_prot_QXV81692.1_1_unknown_Transcription_factor	MZ501086.1_prot_QXV81692.1_1_unknown_Transcription_factor	1	MZ501086.1	QXV81692.11	unknown	Transcription_factor
1155	MZ501086.1_prot_QXV81695.1_4_unknown_Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_2	MZ501086.1_prot_QXV81695.1_4_unknown_Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_2	1	MZ501086.1	QXV81695.14	unknown	Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_2
1156	MZ501086.1_prot_QXV81696.1_5_unknown_Fels-2_prophage_protein	MZ501086.1_prot_QXV81696.1_5_unknown_Fels-2_prophage_protein	1	MZ501086.1	QXV81696.15	unknown	Fels-2_prophage_protein
1164	MZ501086.1_prot_QXV81707.1_16_unknown_Conserved_hypothetical_phage_protein	MZ501086.1_prot_QXV81707.1_16_unknown_Conserved_hypothetical_phage_protein	1	MZ501086.1	QXV81707.116	unknown	Conserved_hypothetical_phage_protein
1165	MZ501086.1_prot_QXV81710.1_19_unknown_Bacteriophage_protein	MZ501086.1_prot_QXV81710.1_19_unknown_Bacteriophage_protein	1	MZ501086.1	QXV81710.119	unknown	Bacteriophage_protein
1171	MH550421.1_prot_AXN58047.1_6_unknown_RING-type_E3_ubiquitin_transferase	MH550421.1_prot_AXN58047.1_6_unknown_RING-type_E3_ubiquitin_transferase	1	MH550421.1	AXN58047.16	unknown	RING-type_E3_ubiquitin_transferase
1189	MH550421.1_prot_AXN58289.1_249_unknown_Paired_box_protein_Pax-9	MH550421.1_prot_AXN58289.1_249_unknown_Paired_box_protein_Pax-9	1	MH550421.1	AXN58289.1249	unknown	Paired_box_protein_Pax-9
1191	MH751506.1_prot_AYD82602.1_5_unknown_RING-type_E3_ubiquitin_transferase	MH751506.1_prot_AYD82602.1_5_unknown_RING-type_E3_ubiquitin_transferase	1	MH751506.1	AYD82602.15	unknown	RING-type_E3_ubiquitin_transferase
1193	MH751506.1_prot_AYD82682.1_85_unknown_Lysine--tRNA_ligase	MH751506.1_prot_AYD82682.1_85_unknown_Lysine--tRNA_ligase	1	MH751506.1	AYD82682.185	unknown	Lysine--tRNA_ligase
